e000 3d_rotation 
e33b directions 
e33c directions_bike 
e33d directions_boat 
e33e directions_bus 
e33f directions_car 
e340 directions_railway 
e341 directions_run 
e342 directions_subway 
e343 directions_transit 
e344 directions_walk 
e345 edit_attributes 
e346 edit_location 
e347 ev_station 
e348 fastfood 
e349 flight 
e34a hotel 
e34b layers 
e34c layers_clear 
e34d local_activity 
e34e local_airport 
e34f local_atm 
e350 local_bar 
e351 local_cafe 
e352 local_car_wash 
e353 local_convenience_store 
e354 local_dining 
e355 local_drink 
e356 local_florist 
e357 local_gas_station 
e358 local_grocery_store 
e359 local_hospital 
e35a local_hotel 
e35b local_laundry_service 
e35c local_library 
e35d local_mall 
e35e local_movies 
e35f local_offer 
e360 local_parking 
e361 local_pharmacy 
e362 local_phone 
e363 local_pizza 
e364 local_play 
e365 local_post_office 
e366 local_printshop 
e367 local_see 
e368 local_shipping 
e369 local_taxi 
e36a map 
e36b money 
e36c my_location 
e36d navigation 
e36e near_me 
e36f not_listed_location 
e370 person_pin 
e371 person_pin_circle 
e372 pin_drop 
e373 place 
e374 rate_review 
e375 restaurant 
e376 restaurant_menu 
e377 satellite 
e378 store_mall_directory 
e379 streetview 
e37a subway 
e37b terrain 
e37c traffic 
e37d train 
e37e tram 
e37f transfer_within_a_station 
e380 transit_enterexit 
e381 trip_origin 
e382 zoom_out_map 
e383 apps 
e384 arrow_back 
e385 arrow_back_ios 
e386 arrow_downward 
e387 arrow_drop_down 
e388 arrow_drop_down_circle 
e389 arrow_drop_up 
e38a arrow_forward 
e38b arrow_forward_ios 
e38c arrow_left 
e38d arrow_right 
e38e arrow_upward 
e38f cancel 
e390 check 
e391 chevron_left 
e392 chevron_right 
e393 close 
e394 expand_less 
e395 expand_more 
e396 first_page 
e397 fullscreen 
e398 fullscreen_exit 
e399 last_page 
e39a menu 
e39b more_horiz 
e39c more_vert 
e39d refresh 
e39e subdirectory_arrow_left 
e39f subdirectory_arrow_right 
e3a0 unfold_less 
e3a1 unfold_more 
e3a2 adb 
e3a3 airline_seat_flat 
e3a4 airline_seat_flat_angled 
e3a5 airline_seat_individual_suite 
e3a6 airline_seat_legroom_extra 
e3a7 airline_seat_legroom_normal 
e3a8 airline_seat_legroom_reduced 
e3a9 airline_seat_recline_extra 
e3aa airline_seat_recline_normal 
e3ab bluetooth_audio 
e3ac confirmation_number 
e3ad disc_full 
e3ae drive_eta 
e3af enhanced_encryption 
e3b0 event_available 
e3b1 event_busy 
e3b2 event_note 
e3b3 folder_special 
e3b4 live_tv 
e3b5 mms 
e3b6 more 
e3b7 network_check 
e3b8 network_locked 
e3b9 no_encryption 
e3ba ondemand_video 
e3bb personal_video 
e3bc phone_bluetooth_speaker 
e3bd phone_callback 
e3be phone_forwarded 
e3bf phone_in_talk 
e3c0 phone_locked 
e3c1 phone_missed 
e3c2 phone_paused 
e3c3 power 
e3c4 power_off 
e3c5 priority_high 
e3c6 sd_card 
e3c7 sms 
e3c8 sms_failed 
e3c9 sync 
e3ca sync_disabled 
e3cb sync_problem 
e3cc system_update 
e3cd tap_and_play 
e3ce time_to_leave 
e3cf tv_off 
e3d0 vibration 
e3d1 voice_chat 
e3d2 vpn_lock 
e3d3 wc 
e3d4 wifi 
e3d5 wifi_off 
e3d6 ac_unit 
e3d7 airport_shuttle 
e3d8 all_inclusive 
e3d9 beach_access 
e3da business_center 
e3db casino 
e3dc child_care 
e3dd child_friendly 
e3de fitness_center 
e3df free_breakfast 
e3e0 golf_course 
e3e1 hot_tub 
e3e2 kitchen 
e3e3 meeting_room 
e3e4 no_meeting_room 
e3e5 pool 
e3e6 room_service 
e3e7 rv_hookup 
e3e8 smoke_free 
e3e9 smoking_rooms 
e3ea spa 
e3eb cake 
e3ec domain 
e3ed group 
e3ee group_add 
e3ef location_city 
e3f0 mood 
e3f1 mood_bad 
e3f2 notifications 
e3f3 notifications_active 
e3f4 notifications_none 
e3f5 notifications_off 
e3f6 notifications_paused 
e3f7 pages 
e3f8 party_mode 
e3f9 people 
e3fa people_outline 
e3fb person 
e3fc person_add 
e3fd person_outline 
e3fe plus_one 
e3ff poll 
e400 public 
e401 school 
e402 sentiment_dissatisfied 
e403 sentiment_satisfied 
e404 sentiment_very_dissatisfied 
e405 sentiment_very_satisfied 
e406 share 
e407 thumb_down_alt 
e408 thumb_up_alt 
e409 whatshot 
e40a check_box 
e40b check_box_outline_blank 
e40c indeterminate_check_box 
e40d radio_button_checked 
e40e radio_button_unchecked 
e40f star 
e410 star_border 
e411 star_half 
e412 toggle_off 
e413 toggle_on 
